Shop_ID,Shop_Name,Province,Sales_Rep,Shop_Latitude,Shop_Longitude,Visit_Status,Checkin_Timestamp,User_Latitude,User_Longitude,Distance_From_Shop(m),Remark
S0073,เจริญ บริการ,กระบี่,สมชาย,8.130247,98.876738,Checked-in,2025-12-06 09:56:41,8.130416,98.876942,29.0,ปกติ
S0074,อันดามัน การค้า,นครศรีธรรมราช,มานะ,8.508909,99.888443,Checked-in,2025-12-07 11:02:13,8.509117,99.888708,37.0,ปกติ
S0075,โกไข่ ค้าส่ง,พังงา,วิชัย,8.434846,98.597295,Checked-in,2025-12-05 10:34:50,8.435134,98.597499,39.0,ปกติ
S0076,หาดใหญ่ ซัพพลาย,พังงา,กานต์,8.407857,98.579541,Checked-in,2025-12-03 12:11:44,8.407629,98.579377,31.0,ปกติ
S0077,น้องหญิง โอชา,นราธิวาส,กานต์,6.448416,101.796941,Checked-in,2025-12-01 12:53:50,6.448651,101.797011,27.0,ปกติ
S0078,น้องหญิง มาร์ท,กระบี่,วิชัย,8.007419,98.936304,Checked-in,2025-12-02 10:29:49,8.007493,98.936513,24.0,ปกติ
S0079,หาดใหญ่ ค้าส่ง,ยะลา,มานะ,6.591428,101.260233,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0080,น้องหญิง การค้า,กระบี่,สุดารัตน์,8.014897,98.954636,Checked-in,2025-12-03 15:59:44,8.014615,98.954507,34.0,ปกติ
S0081,สยาม สโตร์,สุราษฎร์ธานี,กานต์,9.168007,99.374548,Checked-in,2025-12-03 11:20:22,9.16801,99.374344,22.0,ปกติ
S0082,น้องหญิง บริการ,พังงา,กานต์,8.494039,98.44952,Checked-in,2025-12-02 11:10:26,8.493949,98.449742,26.0,ปกติ
S0083,โกไข่ โอชา,ชุมพร,สมชาย,10.450341,99.205149,Checked-in,2025-12-03 11:40:13,10.45009,99.205352,35.0,ปกติ
S0084,โกไข่ พานิช,ระนอง,กานต์,9.946588,98.668521,Checked-in,2025-12-04 13:21:19,9.930958,98.688407,2786.0,ระยะไกลเกินกำหนด (Suspicious)
S0085,ศรีนคร โกรเซอรี่,ตรัง,สมชาย,7.572946,99.59978,Checked-in,2025-12-08 16:07:08,7.573191,99.599613,32.0,ปกติ
S0086,รุ่งเรือง บริการ,พังงา,สมชาย,8.426045,98.461791,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0087,รุ่งเรือง ค้าส่ง,ปัตตานี,ทศพล,6.855181,101.181677,Checked-in,2025-12-08 15:12:52,6.855024,101.181453,30.0,ปกติ
S0088,ทรัพย์ โอชา,นราธิวาส,สมชาย,6.459192,101.889113,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0089,สยาม บริการ,สตูล,วิชัย,6.616081,100.075132,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0090,รุ่งเรือง ค้าส่ง,นราธิวาส,วิชัย,6.389647,101.777869,Checked-in,2025-12-08 17:35:11,6.389557,101.77759,32.0,ปกติ
S0091,สยาม 2024,ปัตตานี,มานะ,6.791424,101.269416,Checked-in,2025-12-08 10:05:45,6.791489,101.269327,12.0,ปกติ
S0092,หาดใหญ่ สโตร์,ยะลา,มานะ,6.54958,101.233678,Checked-in,2025-12-02 10:18:17,6.561025,101.246077,1869.0,ระยะไกลเกินกำหนด (Suspicious)
S0093,อันดามัน โกรเซอรี่,สุราษฎร์ธานี,มานะ,9.068915,99.344681,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0094,โกไข่ การค้า,สตูล,สมชาย,6.578108,100.081955,Checked-in,2025-12-07 12:40:30,6.578374,100.082091,33.0,ปกติ
S0095,ทรัพย์ โกรเซอรี่,ชุมพร,วิชัย,10.43701,99.153291,Checked-in,2025-12-06 10:16:21,10.436803,99.153178,26.0,ปกติ
S0096,น้องหญิง สโตร์,ตรัง,วิชัย,7.573464,99.602815,Checked-in,2025-12-02 13:29:15,7.573335,99.602674,21.0,ปกติ
S0097,โกไข่ พานิช,กระบี่,กานต์,8.118685,98.872791,Checked-in,2025-12-02 15:37:45,8.118914,98.873064,39.0,ปกติ
S0098,ทรัพย์ 2024,กระบี่,ทศพล,8.040222,98.884015,Checked-in,2025-12-06 09:59:29,8.040043,98.883953,21.0,ปกติ
S0099,ทรัพย์ ซัพพลาย,ระนอง,ทศพล,9.997039,98.70036,Checked-in,2025-12-02 11:38:42,9.997335,98.700222,36.0,ปกติ
S0100,เจริญ 2024,ปัตตานี,มานะ,6.795756,101.233716,Checked-in,2025-12-06 08:31:38,6.79565,101.233744,12.0,ปกติ
S0101,ทรัพย์ ซัพพลาย,นครศรีธรรมราช,สุดารัตน์,8.366456,100.034537,Checked-in,2025-12-01 12:07:43,8.366337,100.034664,19.0,ปกติ
S0102,เมืองใต้ โอชา,กระบี่,สุดารัตน์,8.104596,98.870622,Checked-in,2025-12-05 16:28:53,8.104374,98.870854,35.0,ปกติ
S0103,รุ่งเรือง 2024,นครศรีธรรมราช,สุดารัตน์,8.480612,100.030082,Checked-in,2025-12-04 09:55:47,8.48054,100.030379,33.0,ปกติ
S0104,สยาม การค้า,นครศรีธรรมราช,ทศพล,8.487375,99.925032,Checked-in,2025-12-06 16:12:32,8.487591,99.925206,30.0,ปกติ
S0105,โกไข่ ค้าส่ง,นราธิวาส,มานะ,6.449179,101.808481,Checked-in,2025-12-06 13:43:54,6.449424,101.808655,33.0,ปกติ
S0106,อันดามัน การค้า,ภูเก็ต,วิชัย,7.891976,98.421769,Checked-in,2025-12-03 17:03:40,7.882398,98.42741,1232.0,ระยะไกลเกินกำหนด (Suspicious)
S0107,รุ่งเรือง มาร์ท,สงขลา,มานะ,7.064453,100.475212,Checked-in,2025-12-06 17:33:38,7.064161,100.475475,43.0,ปกติ
S0108,สยาม บริการ,สุราษฎร์ธานี,กานต์,9.181484,99.33116,Checked-in,2025-12-09 15:18:07,9.181726,99.331401,37.0,ปกติ
S0109,น้องหญิง 2024,นราธิวาส,สมชาย,6.346223,101.825624,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0110,เจริญ บริการ,พังงา,สมชาย,8.422674,98.597446,Checked-in,2025-12-03 12:16:25,8.422452,98.597666,34.0,ปกติ
S0111,รุ่งเรือง 2024,กระบี่,กานต์,8.0094,98.913408,Checked-in,2025-12-04 16:49:38,8.026015,98.925376,2269.0,ระยะไกลเกินกำหนด (Suspicious)
S0112,สยาม โกรเซอรี่,นครศรีธรรมราช,มานะ,8.363698,99.912637,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0113,หาดใหญ่ พานิช,ระนอง,มานะ,10.022312,98.63221,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0114,สยาม พานิช,นราธิวาส,ทศพล,6.462557,101.799477,Checked-in,2025-12-06 09:59:55,6.481217,101.782832,2772.0,ระยะไกลเกินกำหนด (Suspicious)
S0115,เมืองใต้ โกรเซอรี่,นราธิวาส,มานะ,6.415036,101.896828,Checked-in,2025-12-08 10:04:53,6.415189,101.897074,31.0,ปกติ
S0116,เมืองใต้ โกรเซอรี่,พัทลุง,สมชาย,7.55296,100.056687,Checked-in,2025-12-07 08:36:16,7.552908,100.056724,7.0,ปกติ
S0117,อันดามัน โอชา,พังงา,สุดารัตน์,8.486221,98.567366,Checked-in,2025-12-04 13:25:02,8.486278,98.567516,17.0,ปกติ
S0118,ศรีนคร ซัพพลาย,ปัตตานี,วิชัย,6.866541,101.269862,Checked-in,2025-12-06 11:48:54,6.866651,101.269858,12.0,ปกติ
S0119,รุ่งเรือง พานิช,สตูล,กานต์,6.605599,100.129573,Checked-in,2025-12-05 08:01:12,6.60564,100.129416,17.0,ปกติ
S0120,เมืองใต้ บริการ,สงขลา,มานะ,7.038714,100.41466,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0121,อันดามัน มาร์ท,ระนอง,กานต์,10.012211,98.633752,Checked-in,2025-12-06 09:48:02,10.012357,98.633891,22.0,ปกติ
S0122,ศรีนคร บริการ,ภูเก็ต,มานะ,7.959624,98.417327,Checked-in,2025-12-05 16:24:24,7.965004,98.404191,1565.0,ระยะไกลเกินกำหนด (Suspicious)
S0123,ทรัพย์ ซัพพลาย,นครศรีธรรมราช,สมชาย,8.428232,100.035508,Checked-in,2025-12-04 15:13:13,8.428506,100.035657,34.0,ปกติ
S0124,เมืองใต้ โอชา,สงขลา,สุดารัตน์,7.028391,100.485099,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0125,สยาม บริการ,กระบี่,กานต์,8.076251,98.87354,Checked-in,2025-12-05 12:28:12,8.07608,98.873732,28.0,ปกติ
S0126,โกไข่ ค้าส่ง,พัทลุง,สมชาย,7.632671,100.09504,Checked-in,2025-12-07 09:57:52,7.632636,100.095298,28.0,ปกติ
S0127,อันดามัน พานิช,ชุมพร,วิชัย,10.472861,99.175779,Checked-in,2025-12-03 12:38:39,10.472708,99.175831,17.0,ปกติ
S0128,อันดามัน สโตร์,ยะลา,ทศพล,6.46742,101.333566,Checked-in,2025-12-09 11:39:12,6.467295,101.33339,23.0,ปกติ
S0129,น้องหญิง พานิช,ตรัง,กานต์,7.572021,99.571907,Checked-in,2025-12-01 12:45:56,7.572072,99.572127,24.0,ปกติ
S0130,ทรัพย์ มาร์ท,ชุมพร,วิชัย,10.428946,99.251279,Checked-in,2025-12-03 16:14:33,10.429029,99.251023,29.0,ปกติ
S0131,เมืองใต้ มาร์ท,นครศรีธรรมราช,กานต์,8.37616,99.904288,Checked-in,2025-12-05 09:31:56,8.376063,99.904133,20.0,ปกติ
S0132,เมืองใต้ มาร์ท,สตูล,สุดารัตน์,6.551962,100.053292,Checked-in,2025-12-05 11:13:37,6.551678,100.053109,37.0,ปกติ
S0133,สยาม สโตร์,พัทลุง,ทศพล,7.651316,100.086475,Checked-in,2025-12-06 16:45:44,7.651289,100.086211,29.0,ปกติ
S0134,รุ่งเรือง ซัพพลาย,นครศรีธรรมราช,สมชาย,8.381178,100.001112,Checked-in,2025-12-02 14:23:32,8.381057,100.00134,28.0,ปกติ
S0135,อันดามัน การค้า,พังงา,ทศพล,8.385372,98.494446,Checked-in,2025-12-07 09:07:03,8.385196,98.494634,28.0,ปกติ
S0136,อันดามัน ค้าส่ง,พัทลุง,กานต์,7.602789,100.124873,Checked-in,2025-12-08 08:56:15,7.602509,100.125116,41.0,ปกติ
S0137,เมืองใต้ มาร์ท,กระบี่,มานะ,8.109318,98.83885,Checked-in,2025-12-03 13:20:16,8.109599,98.838766,32.0,ปกติ
S0138,ทรัพย์ 2024,ตรัง,มานะ,7.628668,99.687709,Checked-in,2025-12-05 15:09:32,7.628551,99.687753,13.0,ปกติ
S0139,ทรัพย์ ค้าส่ง,นราธิวาส,สุดารัตน์,6.4626,101.760676,Checked-in,2025-12-09 15:00:12,6.462594,101.760855,19.0,ปกติ
S0140,อันดามัน โอชา,ระนอง,สุดารัตน์,9.9816,98.615728,Checked-in,2025-12-04 12:15:53,9.98083,98.599686,1758.0,ระยะไกลเกินกำหนด (Suspicious)
S0141,ทรัพย์ 2024,สุราษฎร์ธานี,วิชัย,9.177112,99.304774,Checked-in,2025-12-09 16:48:47,9.17718,99.304666,14.0,ปกติ
S0142,ทรัพย์ บริการ,ชุมพร,กานต์,10.448929,99.191492,Checked-in,2025-12-09 08:13:58,10.448858,99.191649,18.0,ปกติ
S0143,โกไข่ โกรเซอรี่,ระนอง,สุดารัตน์,9.951,98.629568,Checked-in,2025-12-06 09:52:45,9.951223,98.629293,39.0,ปกติ
S0144,ทรัพย์ สโตร์,สุราษฎร์ธานี,วิชัย,9.16743,99.36393,Checked-in,2025-12-09 13:41:45,9.167473,99.363849,10.0,ปกติ
S0145,รุ่งเรือง โอชา,ภูเก็ต,ทศพล,7.817533,98.386414,Checked-in,2025-12-03 11:12:39,7.802168,98.375027,2119.0,ระยะไกลเกินกำหนด (Suspicious)
S0146,อันดามัน ซัพพลาย,นราธิวาส,สมชาย,6.443664,101.835345,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0147,น้องหญิง โอชา,พัทลุง,กานต์,7.689878,100.095956,Checked-in,2025-12-02 13:24:39,7.689707,100.095728,31.0,ปกติ
S0148,ศรีนคร สโตร์,ตรัง,กานต์,7.572926,99.537657,Checked-in,2025-12-07 09:06:27,7.573201,99.537547,32.0,ปกติ
S0149,หาดใหญ่ สโตร์,กระบี่,สุดารัตน์,8.070319,98.895833,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0150,ศรีนคร พานิช,ตรัง,กานต์,7.500583,99.591226,Checked-in,2025-12-06 11:24:57,7.500589,99.591409,20.0,ปกติ
S0151,รุ่งเรือง ซัพพลาย,ระนอง,กานต์,9.959826,98.588199,Checked-in,2025-12-08 08:45:04,9.959553,98.588493,44.0,ปกติ
S0152,สยาม บริการ,ยะลา,สุดารัตน์,6.514118,101.328703,Checked-in,2025-12-09 10:00:21,6.513931,101.328959,35.0,ปกติ
S0153,โกไข่ โอชา,พัทลุง,สมชาย,7.66088,100.100509,Checked-in,2025-12-05 15:05:37,7.660746,100.1005,14.0,ปกติ
S0154,หาดใหญ่ ค้าส่ง,ภูเก็ต,สมชาย,7.845437,98.339011,Checked-in,2025-12-05 17:01:48,7.845141,98.33897,33.0,ปกติ
S0155,ศรีนคร พานิช,พังงา,วิชัย,8.418944,98.560851,Checked-in,2025-12-06 14:46:14,8.418774,98.560607,32.0,ปกติ
S0156,ศรีนคร พานิช,กระบี่,ทศพล,8.096533,98.92744,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
S0157,หาดใหญ่ สโตร์,พังงา,สมชาย,8.466174,98.471383,Checked-in,2025-12-01 13:11:54,8.466181,98.471369,1.0,ปกติ
S0158,เมืองใต้ มาร์ท,ยะลา,กานต์,6.581229,101.35684,Checked-in,2025-12-01 17:45:10,6.58132,101.356864,10.0,ปกติ
S0159,เจริญ 2024,ระนอง,กานต์,10.007033,98.604208,Checked-in,2025-12-06 12:24:35,10.007135,98.604369,20.0,ปกติ
S0160,อันดามัน 2024,สงขลา,วิชัย,6.97031,100.515854,Checked-in,2025-12-04 09:05:58,6.970479,100.5158,19.0,ปกติ
S0161,สยาม 2024,พังงา,สมชาย,8.426532,98.583914,Checked-in,2025-12-08 13:27:01,8.426457,98.58403,15.0,ปกติ
S0162,รุ่งเรือง บริการ,พังงา,วิชัย,8.378458,98.548949,Checked-in,2025-12-03 17:35:03,8.378293,98.553542,505.0,ระยะไกลเกินกำหนด (Suspicious)
S0163,เจริญ การค้า,นครศรีธรรมราช,มานะ,8.426164,99.987346,Checked-in,2025-12-01 09:17:18,8.425967,99.987518,28.0,ปกติ
S0164,รุ่งเรือง มาร์ท,ชุมพร,สมชาย,10.545078,99.14438,Checked-in,2025-12-08 17:35:48,10.545176,99.14408,34.0,ปกติ
S0165,เจริญ ค้าส่ง,ระนอง,วิชัย,9.914333,98.609278,Checked-in,2025-12-05 11:06:03,9.914145,98.60933,21.0,ปกติ
S0166,เมืองใต้ พานิช,ยะลา,วิชัย,6.573196,101.237882,Checked-in,2025-12-08 11:23:37,6.57299,101.237649,34.0,ปกติ
S0167,โกไข่ พานิช,ปัตตานี,ทศพล,6.817033,101.240232,Checked-in,2025-12-04 17:08:18,6.816973,101.240253,7.0,ปกติ
S0168,โกไข่ สโตร์,ภูเก็ต,สุดารัตน์,7.903953,98.430808,Checked-in,2025-12-04 13:49:17,7.903938,98.430572,26.0,ปกติ
S0169,สยาม 2024,ระนอง,วิชัย,9.926156,98.611602,Not Checked-in,,,,,ลูกค้าไม่อยู่ร้าน / ข้ามรอบ
