Shop_ID,Shop_Name,Region,Province,District_Anchor,Shop_Lat,Shop_Lon,Visit_Status,Checkin_Time,User_Lat,User_Lon,Distance_m,Remark
S00050,สยาม เบเกอรี่,East,Rayong,Pluak Daeng,13.031391,101.136471,Missed,,,,,-
S00051,ไทย พานิช,Bangkok-Metro,Bangkok,Pathum Wan,13.73389,100.535706,Checked-in,2025-12-08 11:45:38,13.733819,100.535859,18.0,Normal
S00052,บิ๊ก พานิช,North,Chiang Mai,Fang,19.905668,99.286001,Checked-in,2025-12-06 17:07:27,19.905474,99.286092,23.0,Normal
S00053,สมชาย สโตร์,Bangkok-Metro,Nonthaburi,Mueang,13.888993,100.509286,Checked-in,2025-12-03 09:48:23,13.888819,100.509559,35.0,Normal
S00054,มั่นคง เบเกอรี่,Bangkok-Metro,Nonthaburi,Mueang,13.843736,100.541706,Checked-in,2025-12-02 14:44:46,13.843914,100.54177,20.0,Normal
S00055,ท็อป โอสถ,Central & West,Ratchaburi,Mueang,13.553008,99.795151,Checked-in,2025-12-02 13:43:57,13.553301,99.79539,41.0,Normal
S00056,รุ่งโรจน์ โอสถ,Bangkok-Metro,Nonthaburi,Mueang,13.834741,100.534157,Checked-in,2025-12-09 10:11:33,13.834479,100.53425,30.0,Normal
S00057,มั่นคง อิเล็คทริค,East,Chon Buri,Si Racha,13.111531,100.863462,Missed,,,,,-
S00058,เพิ่มพูน การเกษตร,Central & West,Ratchaburi,Mueang,13.502729,99.78901,Missed,,,,,-
S00059,สยาม พานิช,South,Surat Thani,Mueang,9.141665,99.388649,Checked-in,2025-12-08 13:25:51,9.141598,99.388659,7.0,Normal
S00060,ไทย โอสถ,Isan,Khon Kaen,Mueang,16.510945,102.840272,Missed,,,,,-
S00061,บิ๊ก การเกษตร,Isan,Ubon Ratchathani,Warin Chamrap,15.20986,104.947472,Missed,,,,,-
S00062,ท็อป พานิช,North,Nakhon Sawan,Mueang,15.696104,100.057302,Missed,,,,,-
S00063,เจริญ อิเล็คทริค,South,Songkhla,Mueang,7.178768,100.606479,Checked-in,2025-12-03 09:26:23,7.178911,100.606416,17.0,Normal
S00064,ไทย การเกษตร,East,Chon Buri,Mueang,13.303428,101.018055,Checked-in,2025-12-01 10:08:11,13.303728,101.017958,34.0,Normal
S00065,บิ๊ก มาร์เก็ต,Central & West,Saraburi,Mueang,14.550964,100.916236,Missed,,,,,-
S00066,แสงทอง เบเกอรี่,East,Chon Buri,Mueang,13.403078,100.97309,Checked-in,2025-12-01 14:38:29,13.403013,100.972867,25.0,Normal
S00067,ไทย ค้าวัสดุ,East,Chon Buri,Pattaya,12.887902,100.936742,Checked-in,2025-12-04 11:29:20,12.88796,100.936534,23.0,Normal
S00068,มั่นคง สโตร์,North,Phitsanulok,Mueang,16.822328,100.265619,Missed,,,,,-
S00069,บิ๊ก เบเกอรี่,South,Phuket,Mueang,7.925553,98.375896,Checked-in,2025-12-01 08:10:42,7.92541,98.375727,24.0,Normal
S00070,เจริญ สโตร์,Central & West,Ratchaburi,Mueang,13.474961,99.750431,Checked-in,2025-12-04 16:35:28,13.474803,99.750638,28.0,Normal
S00071,มั่นคง การเกษตร,Isan,Nakhon Ratchasima,Phimai,15.165859,102.51244,Checked-in,2025-12-01 10:22:53,15.165738,102.512629,24.0,Normal
S00072,ท็อป เทรดดิ้ง,Bangkok-Metro,Samut Prakan,Bang Phli,13.634262,100.693079,Checked-in,2025-12-01 10:57:19,13.634466,100.693079,22.0,Normal
S00073,โชคดี คาเฟ่,South,Nakhon Si Thammarat,Mueang,8.503803,100.009783,Checked-in,2025-12-08 12:05:23,8.476082,100.039574,4498.0,Suspicious (>500m)
S00074,ไทย การเกษตร,South,Phuket,Mueang,7.950687,98.404757,Checked-in,2025-12-04 08:57:14,7.950538,98.404725,16.0,Normal
S00075,สมชาย เบเกอรี่,North,Phitsanulok,Mueang,16.760154,100.310787,Checked-in,2025-12-09 16:25:30,16.760326,100.311001,29.0,Normal
S00076,รุ่งโรจน์ เบเกอรี่,Bangkok-Metro,Samut Prakan,Mueang,13.61162,100.596766,Missed,,,,,-
S00077,มั่นคง พานิช,East,Chachoengsao,Mueang,13.645565,101.115274,Missed,,,,,-
S00078,แสงทอง มาร์เก็ต,South,Nakhon Si Thammarat,Mueang,8.425359,100.018554,Checked-in,2025-12-04 12:58:14,8.425599,100.018516,27.0,Normal
S00079,ไทย มาร์เก็ต,Bangkok-Metro,Samut Prakan,Mueang,13.588686,100.582823,Missed,,,,,-
S00080,เจริญ อิเล็คทริค,Central & West,Ratchaburi,Mueang,13.46642,99.875237,Checked-in,2025-12-06 11:17:31,13.466144,99.875164,31.0,Normal
S00081,โชคดี สโตร์,Central & West,Ayutthaya,Mueang,14.431684,100.564984,Missed,,,,,-
S00082,สยาม โอสถ,North,Phitsanulok,Mueang,16.805959,100.314045,Checked-in,2025-12-08 08:24:12,16.806152,100.314264,31.0,Normal
S00083,ท็อป มาร์เก็ต,South,Nakhon Si Thammarat,Mueang,8.507525,99.93384,Checked-in,2025-12-02 14:16:11,8.507395,99.934043,26.0,Normal
S00084,เจริญ ค้าวัสดุ,Bangkok-Metro,Nonthaburi,Bang Yai,13.849659,100.375165,Checked-in,2025-12-09 16:24:51,13.849556,100.375042,17.0,Normal
S00085,บิ๊ก โอสถ,Isan,Udon Thani,Mueang,17.458218,102.749859,Checked-in,2025-12-09 12:51:52,17.472174,102.788992,4431.0,Suspicious (>500m)
S00086,เพิ่มพูน มาร์เก็ต,North,Phitsanulok,Mueang,16.859728,100.250283,Missed,,,,,-
S00087,เจริญ เบเกอรี่,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.947863,100.679429,Missed,,,,,-
S00088,บิ๊ก มาร์เก็ต,Central & West,Kanchanaburi,Mueang,13.97356,99.514784,Missed,,,,,-
S00089,ท็อป การเกษตร,Bangkok-Metro,Nonthaburi,Mueang,13.883735,100.541459,Checked-in,2025-12-08 15:07:30,13.883506,100.541367,27.0,Normal
S00090,สมชาย คาเฟ่,East,Chachoengsao,Mueang,13.708729,101.128342,Checked-in,2025-12-07 12:24:04,13.708506,101.128561,34.0,Normal
S00091,บิ๊ก ค้าวัสดุ,Bangkok-Metro,Samut Prakan,Mueang,13.572359,100.596764,Missed,,,,,-
S00092,ท็อป เทรดดิ้ง,North,Chiang Rai,Mueang,19.980431,99.812146,Checked-in,2025-12-04 15:52:42,20.029811,99.826894,5702.0,Suspicious (>500m)
S00093,แสงทอง การเกษตร,Central & West,Ayutthaya,Mueang,14.330804,100.559461,Checked-in,2025-12-05 09:34:02,14.330907,100.559249,25.0,Normal
S00094,แสงทอง สโตร์,Bangkok-Metro,Pathum Thani,Rangsit,13.972346,100.615641,Checked-in,2025-12-04 14:48:56,13.97212,100.615642,25.0,Normal
S00095,รุ่งโรจน์ คาเฟ่,Central & West,Kanchanaburi,Mueang,14.038541,99.597481,Checked-in,2025-12-06 17:34:53,14.038822,99.59765,36.0,Normal
S00096,บิ๊ก เบเกอรี่,Bangkok-Metro,Samut Prakan,Bang Phli,13.605823,100.726451,Checked-in,2025-12-09 17:23:16,13.605882,100.726664,23.0,Normal
S00097,บิ๊ก อิเล็คทริค,North,Chiang Rai,Mae Sai,20.430287,99.945674,Checked-in,2025-12-01 10:54:34,20.430391,99.94565,11.0,Normal
S00098,เจริญ สโตร์,South,Songkhla,Mueang,7.129408,100.692945,Checked-in,2025-12-04 09:18:31,7.129419,100.692713,25.0,Normal
S00099,โชคดี มาร์เก็ต,Bangkok-Metro,Pathum Thani,Rangsit,13.975562,100.634614,Missed,,,,,-
S00100,รุ่งโรจน์ ค้าวัสดุ,Central & West,Prachuap Khiri Khan,Hua Hin,12.603914,99.979841,Checked-in,2025-12-05 15:59:10,12.603724,99.980106,35.0,Normal
S00101,ท็อป การเกษตร,Bangkok-Metro,Samut Prakan,Mueang,13.582953,100.580782,Missed,,,,,-
S00102,แสงทอง อิเล็คทริค,Bangkok-Metro,Samut Prakan,Mueang,13.60804,100.619652,Missed,,,,,-
S00103,สมชาย สโตร์,Isan,Khon Kaen,Mueang,16.439418,102.858625,Checked-in,2025-12-09 10:26:16,16.439608,102.858884,34.0,Normal
S00104,สมชาย เทรดดิ้ง,Bangkok-Metro,Bangkok,Chatuchak,13.834007,100.579102,Missed,,,,,-
S00105,ไทย สโตร์,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.917927,100.712412,Missed,,,,,-
S00106,เพิ่มพูน เบเกอรี่,Central & West,Kanchanaburi,Mueang,14.083126,99.512095,Missed,,,,,-
S00107,มั่นคง สโตร์,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.905965,100.702159,Missed,,,,,-
S00108,ไทย เบเกอรี่,South,Nakhon Si Thammarat,Thung Song,8.089316,99.753259,Missed,,,,,-
S00109,เจริญ ค้าวัสดุ,Isan,Ubon Ratchathani,Mueang,15.234301,104.813447,Missed,,,,,-
S00110,เพิ่มพูน การเกษตร,North,Lampang,Mueang,18.279242,99.438269,Checked-in,2025-12-09 09:07:14,18.278992,99.438109,32.0,Normal
S00111,สยาม คาเฟ่,Bangkok-Metro,Bangkok,Bang Na,13.676179,100.620691,Checked-in,2025-12-05 17:55:39,13.675885,100.620969,44.0,Normal
S00112,ท็อป โอสถ,North,Chiang Rai,Mueang,19.843726,99.804996,Missed,,,,,-
S00113,ท็อป สโตร์,Isan,Ubon Ratchathani,Warin Chamrap,15.264605,104.879809,Missed,,,,,-
S00114,โชคดี การเกษตร,Bangkok-Metro,Pathum Thani,Rangsit,13.983463,100.634863,Checked-in,2025-12-03 11:56:44,13.983534,100.634907,9.0,Normal
S00115,เจริญ อิเล็คทริค,Central & West,Saraburi,Mueang,14.469546,100.97774,Checked-in,2025-12-02 08:39:25,14.469341,100.977854,25.0,Normal
S00116,มั่นคง โอสถ,Bangkok-Metro,Nonthaburi,Bang Yai,13.826346,100.341465,Missed,,,,,-
S00117,มั่นคง ค้าวัสดุ,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.957757,100.692819,Checked-in,2025-12-08 15:36:32,14.003389,100.683614,5170.0,Suspicious (>500m)
S00118,แสงทอง สโตร์,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.955231,100.677421,Checked-in,2025-12-04 15:20:44,13.955379,100.677666,31.0,Normal
S00119,แสงทอง โอสถ,Bangkok-Metro,Nonthaburi,Bang Yai,13.849758,100.376381,Checked-in,2025-12-04 10:08:59,13.85,100.376129,38.0,Normal
S00120,เจริญ เทรดดิ้ง,East,Chon Buri,Pattaya,12.939913,100.809703,Checked-in,2025-12-05 15:03:46,12.939671,100.809471,36.0,Normal
S00121,เจริญ พานิช,East,Chon Buri,Si Racha,13.210902,101.009711,Missed,,,,,-
S00122,ไทย เทรดดิ้ง,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.919892,100.700652,Checked-in,2025-12-09 16:39:06,13.91968,100.700842,31.0,Normal
S00123,มั่นคง สโตร์,Isan,Ubon Ratchathani,Warin Chamrap,15.198919,104.810404,Checked-in,2025-12-08 13:46:07,15.198735,104.810447,20.0,Normal
S00124,ไทย เทรดดิ้ง,East,Rayong,Mueang,12.724144,101.331223,Missed,,,,,-
S00125,มั่นคง มาร์เก็ต,Bangkok-Metro,Samut Prakan,Bang Phli,13.625861,100.701957,Checked-in,2025-12-06 13:25:27,13.625824,100.702244,31.0,Normal
S00126,มั่นคง การเกษตร,Central & West,Ratchaburi,Mueang,13.538803,99.825079,Checked-in,2025-12-04 14:26:29,13.538951,99.824991,19.0,Normal
S00127,โชคดี อิเล็คทริค,South,Surat Thani,Koh Samui,9.435262,99.965129,Checked-in,2025-12-02 16:49:07,9.435295,99.965084,6.0,Normal
S00128,สยาม โอสถ,Isan,Khon Kaen,Mueang,16.482564,102.84403,Missed,,,,,-
S00129,โชคดี มาร์เก็ต,North,Phitsanulok,Mueang,16.887928,100.249457,Checked-in,2025-12-05 08:13:24,16.888018,100.249182,30.0,Normal
S00130,บิ๊ก พานิช,Isan,Ubon Ratchathani,Mueang,15.291612,104.918979,Checked-in,2025-12-07 15:22:34,15.291319,104.919197,40.0,Normal
S00131,ท็อป โอสถ,North,Lampang,Mueang,18.340365,99.44184,Checked-in,2025-12-02 08:34:28,18.340524,99.441617,29.0,Normal
S00132,โชคดี อิเล็คทริค,East,Chon Buri,Pattaya,12.987156,100.845844,Checked-in,2025-12-04 09:06:49,12.987001,100.84599,23.0,Normal
S00133,สมชาย มาร์เก็ต,East,Chon Buri,Si Racha,13.238926,100.974956,Checked-in,2025-12-07 10:32:19,13.238713,100.97478,30.0,Normal
S00134,ท็อป มาร์เก็ต,Isan,Khon Kaen,Mueang,16.404926,102.796078,Checked-in,2025-12-06 08:39:29,16.404975,102.796352,29.0,Normal
S00135,สมชาย โอสถ,Central & West,Ayutthaya,Mueang,14.394274,100.622178,Checked-in,2025-12-07 17:37:43,14.394097,100.62218,19.0,Normal
S00136,บิ๊ก เบเกอรี่,Bangkok-Metro,Nonthaburi,Mueang,13.877488,100.499601,Checked-in,2025-12-02 11:19:23,13.877576,100.499381,25.0,Normal
S00137,แสงทอง พานิช,Bangkok-Metro,Nonthaburi,Bang Yai,13.840591,100.349016,Checked-in,2025-12-07 08:32:32,13.840483,100.349198,23.0,Normal
S00138,เจริญ มาร์เก็ต,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.93093,100.726208,Checked-in,2025-12-03 12:02:59,13.931128,100.72607,26.0,Normal
S00139,มั่นคง เทรดดิ้ง,North,Nakhon Sawan,Mueang,15.641543,100.080282,Checked-in,2025-12-04 08:04:14,15.641454,100.080503,25.0,Normal
S00140,สมชาย โอสถ,Central & West,Ratchaburi,Mueang,13.480074,99.862417,Checked-in,2025-12-06 16:45:49,13.480007,99.862242,20.0,Normal
S00141,บิ๊ก อิเล็คทริค,Bangkok-Metro,Nonthaburi,Mueang,13.889724,100.521062,Missed,,,,,-
S00142,โชคดี มาร์เก็ต,Bangkok-Metro,Pathum Thani,Rangsit,13.979986,100.607792,Checked-in,2025-12-05 15:37:29,13.946378,100.560543,6321.0,Suspicious (>500m)
S00143,รุ่งโรจน์ เบเกอรี่,Bangkok-Metro,Samut Prakan,Bang Phli,13.596177,100.721049,Checked-in,2025-12-01 11:51:46,13.595941,100.721207,31.0,Normal
S00144,เจริญ ค้าวัสดุ,East,Chachoengsao,Mueang,13.685846,101.098961,Checked-in,2025-12-07 09:57:39,13.685758,101.099057,14.0,Normal
S00145,ไทย เบเกอรี่,Bangkok-Metro,Bangkok,Bang Na,13.646494,100.588822,Missed,,,,,-
S00146,เพิ่มพูน เบเกอรี่,Isan,Buriram,Mueang,14.920998,103.141676,Missed,,,,,-
S00147,สยาม คาเฟ่,Bangkok-Metro,Samut Prakan,Bang Phli,13.629046,100.719475,Checked-in,2025-12-06 17:52:36,13.628984,100.719284,21.0,Normal
S00148,โชคดี พานิช,Central & West,Saraburi,Mueang,14.601097,100.85383,Checked-in,2025-12-09 11:50:55,14.601066,100.853923,10.0,Normal
S00149,โชคดี เทรดดิ้ง,Isan,Buriram,Mueang,14.926474,103.126921,Checked-in,2025-12-07 09:32:14,14.884487,103.086933,6345.0,Suspicious (>500m)
S00150,เจริญ สโตร์,North,Chiang Rai,Mueang,19.83755,99.855781,Missed,,,,,-
S00151,เพิ่มพูน การเกษตร,Central & West,Ratchaburi,Mueang,13.592759,99.866388,Checked-in,2025-12-03 11:08:42,13.593033,99.866482,32.0,Normal
S00152,เพิ่มพูน เบเกอรี่,Isan,Khon Kaen,Mueang,16.520575,102.87776,Checked-in,2025-12-03 17:34:14,16.520531,102.877844,10.0,Normal
S00153,ท็อป มาร์เก็ต,East,Chon Buri,Pattaya,12.98214,100.922586,Checked-in,2025-12-04 11:13:50,13.003879,100.916463,2506.0,Suspicious (>500m)
S00154,แสงทอง โอสถ,Central & West,Kanchanaburi,Mueang,14.017116,99.54719,Checked-in,2025-12-04 09:32:36,14.017214,99.547403,25.0,Normal
S00155,ทวีทรัพย์ เทรดดิ้ง,Central & West,Ratchaburi,Mueang,13.595577,99.776368,Missed,,,,,-
S00156,เพิ่มพูน การเกษตร,North,Chiang Rai,Mueang,19.949558,99.777742,Checked-in,2025-12-07 09:50:58,19.942644,99.77197,977.0,Suspicious (>500m)
S00157,มั่นคง คาเฟ่,North,Phitsanulok,Mueang,16.762742,100.324504,Checked-in,2025-12-01 16:41:42,16.762561,100.324756,33.0,Normal
S00158,สยาม สโตร์,South,Songkhla,Mueang,7.132992,100.563772,Missed,,,,,-
S00159,สมชาย คาเฟ่,Bangkok-Metro,Samut Prakan,Mueang,13.629047,100.600026,Checked-in,2025-12-04 08:29:12,13.629316,100.600217,36.0,Normal
S00160,ทวีทรัพย์ สโตร์,East,Rayong,Mueang,12.670629,101.273655,Checked-in,2025-12-03 16:10:35,12.670477,101.273655,16.0,Normal
S00161,มั่นคง เบเกอรี่,North,Chiang Rai,Mueang,19.834138,99.783122,Missed,,,,,-
S00162,ไทย พานิช,North,Chiang Mai,Fang,19.881369,99.162511,Checked-in,2025-12-05 10:32:57,19.881577,99.162364,27.0,Normal
S00163,ไทย การเกษตร,Isan,Buriram,Mueang,15.025027,103.146334,Checked-in,2025-12-08 16:47:31,15.025239,103.146243,25.0,Normal
S00164,มั่นคง คาเฟ่,North,Chiang Mai,Mueang,18.856607,99.034037,Checked-in,2025-12-03 15:53:20,18.856756,99.034138,19.0,Normal
S00165,รุ่งโรจน์ มาร์เก็ต,Central & West,Prachuap Khiri Khan,Hua Hin,12.517513,99.950413,Checked-in,2025-12-06 15:19:40,12.517568,99.950252,18.0,Normal
S00166,ไทย โอสถ,Central & West,Prachuap Khiri Khan,Hua Hin,12.513884,99.981572,Missed,,,,,-
S00167,เจริญ เทรดดิ้ง,North,Nakhon Sawan,Mueang,15.654918,100.110293,Checked-in,2025-12-06 10:35:59,15.654864,100.110109,20.0,Normal
S00168,แสงทอง คาเฟ่,Bangkok-Metro,Bangkok,Min Buri,13.812631,100.726997,Checked-in,2025-12-08 08:19:19,13.812599,100.726785,23.0,Normal
S00169,เพิ่มพูน อิเล็คทริค,North,Lampang,Mueang,18.278369,99.556767,Checked-in,2025-12-07 11:37:02,18.278339,99.556895,13.0,Normal
S00170,แสงทอง การเกษตร,South,Nakhon Si Thammarat,Mueang,8.434154,99.916033,Missed,,,,,-
S00171,รุ่งโรจน์ ค้าวัสดุ,Bangkok-Metro,Bangkok,Chatuchak,13.81673,100.530785,Checked-in,2025-12-05 09:21:32,13.816962,100.530506,39.0,Normal
S00172,โชคดี พานิช,South,Surat Thani,Mueang,9.217438,99.324326,Checked-in,2025-12-05 17:16:02,9.243684,99.338478,3305.0,Suspicious (>500m)
S00173,บิ๊ก เบเกอรี่,East,Rayong,Mueang,12.639511,101.331707,Checked-in,2025-12-07 14:43:08,12.591247,101.345698,5577.0,Suspicious (>500m)
S00174,รุ่งโรจน์ การเกษตร,Isan,Khon Kaen,Chum Phae,16.52809,102.177047,Missed,,,,,-
S00175,ท็อป สโตร์,Isan,Buriram,Mueang,15.068532,103.125516,Checked-in,2025-12-05 08:43:28,15.068474,103.125363,17.0,Normal
S00176,ท็อป สโตร์,Central & West,Ayutthaya,Mueang,14.413317,100.63671,Checked-in,2025-12-06 11:45:26,14.435291,100.604331,4257.0,Suspicious (>500m)
S00177,บิ๊ก โอสถ,Bangkok-Metro,Samut Prakan,Bang Phli,13.61996,100.732005,Missed,,,,,-
S00178,บิ๊ก พานิช,Bangkok-Metro,Nonthaburi,Mueang,13.853478,100.490983,Missed,,,,,-
S00179,สมชาย ค้าวัสดุ,Central & West,Kanchanaburi,Mueang,14.074154,99.548028,Checked-in,2025-12-05 11:58:28,14.074196,99.547953,9.0,Normal
S00180,ทวีทรัพย์ มาร์เก็ต,Bangkok-Metro,Pathum Thani,Lam Luk Ka,13.93157,100.677141,Checked-in,2025-12-02 15:53:04,13.952221,100.656527,3197.0,Suspicious (>500m)
S00181,รุ่งโรจน์ สโตร์,South,Songkhla,Mueang,7.230032,100.686224,Missed,,,,,-
S00182,ไทย การเกษตร,Bangkok-Metro,Nonthaburi,Mueang,13.883459,100.538559,Missed,,,,,-
