Shop_ID,Shop_Name,Province,District_Zone,Sales_Rep,Shop_Latitude,Shop_Longitude,Visit_Status,Checkin_Timestamp,User_Latitude,User_Longitude,Distance_From_Shop(m),Remark
S0027,น้องหญิง พานิช,สงขลา,หาดใหญ่,กานต์,7.040622,100.452179,Not Checked-in,,,,,-
S0028,ลุงพล บริการ,ตรัง,ห้วยยอด,ทศพล,7.807207,99.562426,Not Checked-in,,,,,-
S0029,เจริญ มาร์ท,กระบี่,อ่าวลึก,วิชัย,8.403271,98.710631,Not Checked-in,,,,,-
S0030,ทรัพย์ สโตร์,นครศรีธรรมราช,ปากพนัง,กานต์,8.401587,100.24192,Checked-in,2025-12-04 12:30:01,8.401697,100.241747,22.0,ปกติ
S0031,ทรัพย์ โอชา,กระบี่,เกาะลันตา,สมชาย,7.533715,98.9931,Not Checked-in,,,,,-
S0032,เจริญ มาร์ท,พังงา,ตะกั่วป่า,สุดารัตน์,8.784411,98.394236,Checked-in,2025-12-01 11:53:32,8.784536,98.394398,22.0,ปกติ
S0033,ป้าแดง ซัพพลาย,นราธิวาส,เมืองนราธิวาส,มานะ,6.390454,101.844712,Not Checked-in,,,,,-
S0034,ลุงพล พานิช,นราธิวาส,สุไหงโก-ลก,เจนนี่,6.028755,102.006085,Checked-in,2025-12-01 17:31:59,6.028767,102.005939,16.0,ปกติ
S0035,ลุงพล 2025,สุราษฎร์ธานี,พุนพิน,มานะ,9.086892,99.22443,Checked-in,2025-12-08 08:15:37,9.086725,99.224597,26.0,ปกติ
S0036,ลุงพล 2025,สตูล,เมืองสตูล,สมชาย,6.564212,100.057963,Checked-in,2025-12-05 13:34:46,6.564056,100.05807,20.0,ปกติ
S0037,รุ่งเรือง การค้า,ชุมพร,เมืองชุมพร,กานต์,10.542288,99.186446,Checked-in,2025-12-09 15:30:29,10.542285,99.186372,8.0,ปกติ
S0038,อันดามัน สาขา 1,ตรัง,ห้วยยอด,วิชัย,7.79836,99.581545,Checked-in,2025-12-07 15:41:42,7.798245,99.581447,16.0,ปกติ
S0039,ป้าแดง บริการ,กระบี่,คลองท่อม,ทศพล,7.987148,99.192936,Checked-in,2025-12-04 10:23:59,7.987023,99.192818,19.0,ปกติ
S0040,ทรัพย์ ซัพพลาย,สตูล,เมืองสตูล,มานะ,6.575652,100.031432,Not Checked-in,,,,,-
S0041,โกไข่ การค้า,พังงา,ตะกั่วป่า,เจนนี่,8.878613,98.350825,Checked-in,2025-12-05 11:33:21,8.873704,98.36003,1149.0,ระยะไกลเกินกำหนด
S0042,ป้าแดง ค้าส่ง,ภูเก็ต,กะทู้,วิชัย,7.900601,98.339112,Not Checked-in,,,,,-
S0043,ลุงพล โกรเซอรี่,ภูเก็ต,ถลาง,ทศพล,8.077924,98.365857,Checked-in,2025-12-04 16:33:04,8.07855,98.374983,1007.0,ระยะไกลเกินกำหนด
S0044,น้องหญิง ซัพพลาย,ชุมพร,เมืองชุมพร,เจนนี่,10.504498,99.232775,Not Checked-in,,,,,-
S0045,สยาม สโตร์,พังงา,เมืองพังงา,มานะ,8.50592,98.486551,Checked-in,2025-12-03 14:53:31,8.505771,98.486572,16.0,ปกติ
S0046,ลุงพล ค้าส่ง,พัทลุง,ตะโหมด,กานต์,7.382925,100.116908,Not Checked-in,,,,,-
S0047,น้องหญิง โกรเซอรี่,ชุมพร,ปะทิว,สมชาย,10.694279,99.313918,Checked-in,2025-12-09 16:55:10,10.694473,99.31393,21.0,ปกติ
S0048,เจริญ โกรเซอรี่,พัทลุง,ควนขนุน,สุดารัตน์,7.784553,100.052186,Checked-in,2025-12-01 11:48:02,7.78466,100.052289,16.0,ปกติ
S0049,อันดามัน 2025,ยะลา,เบตง,สุดารัตน์,5.776696,101.01754,Checked-in,2025-12-09 09:03:40,5.776567,101.017564,14.0,ปกติ
S0050,ลุงพล สโตร์,สตูล,เมืองสตูล,กานต์,6.648685,100.071536,Checked-in,2025-12-01 11:47:56,6.648634,100.07164,12.0,ปกติ
S0051,รุ่งเรือง การค้า,สุราษฎร์ธานี,เกาะสมุย,วิชัย,9.505925,100.006875,Checked-in,2025-12-03 09:11:28,9.505879,100.006913,6.0,ปกติ
S0052,เมืองใต้ บริการ,นราธิวาส,สุไหงโก-ลก,เจนนี่,5.994279,101.985672,Checked-in,2025-12-02 08:07:22,5.994303,101.99075,561.0,ระยะไกลเกินกำหนด
S0053,ลุงพล การค้า,กระบี่,อ่าวลึก,ทศพล,8.392128,98.729303,Not Checked-in,,,,,-
S0054,ศรีนคร 2025,สุราษฎร์ธานี,เวียงสระ,วิชัย,8.641612,99.312934,Not Checked-in,,,,,-
S0055,ศรีนคร โอชา,สตูล,ละงู,มานะ,6.919177,99.837622,Not Checked-in,,,,,-
S0056,ทรัพย์ ซัพพลาย,ชุมพร,หลังสวน,สมชาย,9.954264,99.12921,Not Checked-in,,,,,-
S0057,หาดใหญ่ สโตร์,สงขลา,รัตภูมิ,สุดารัตน์,7.103921,100.333834,Checked-in,2025-12-08 17:45:13,7.104014,100.333984,19.0,ปกติ
S0058,เมืองใต้ พานิช,ภูเก็ต,ถลาง,ทศพล,8.075375,98.348529,Checked-in,2025-12-06 10:10:18,8.075217,98.348451,19.0,ปกติ
S0059,เจริญ มาร์ท,กระบี่,เกาะลันตา,เจนนี่,7.547662,99.002662,Checked-in,2025-12-03 08:03:19,7.547475,99.002786,24.0,ปกติ
S0060,รุ่งเรือง การค้า,นครศรีธรรมราช,เมืองนครศรีฯ,เจนนี่,8.450902,99.948301,Not Checked-in,,,,,-
S0061,ทรัพย์ โอชา,สงขลา,สะเดา,กานต์,6.620681,100.456609,Checked-in,2025-12-04 15:30:14,6.620782,100.456705,15.0,ปกติ
S0062,โกไข่ สาขา 1,ภูเก็ต,ถลาง,เจนนี่,7.978018,98.372442,Not Checked-in,,,,,-
S0063,ทรัพย์ ค้าส่ง,ยะลา,บันนังสตา,ทศพล,6.256388,101.219777,Checked-in,2025-12-06 12:03:37,6.251199,101.221962,625.0,ระยะไกลเกินกำหนด
S0064,รุ่งเรือง การค้า,ยะลา,บันนังสตา,เจนนี่,6.290946,101.201051,Not Checked-in,,,,,-
S0065,สยาม ค้าส่ง,นครศรีธรรมราช,ปากพนัง,วิชัย,8.297918,100.228335,Checked-in,2025-12-02 12:24:24,8.29778,100.228277,16.0,ปกติ
S0066,ลุงพล มาร์ท,นครศรีธรรมราช,เมืองนครศรีฯ,ทศพล,8.393668,99.992975,Checked-in,2025-12-04 08:37:35,8.393782,99.992782,24.0,ปกติ
S0067,น้องหญิง การค้า,ยะลา,เมืองยะลา,ทศพล,6.495289,101.326731,Not Checked-in,,,,,-
S0068,อันดามัน โกรเซอรี่,นครศรีธรรมราช,หัวไทร,มานะ,8.084839,100.329741,Checked-in,2025-12-06 17:25:44,8.085028,100.32985,24.0,ปกติ
S0069,ป้าแดง 2025,สตูล,เมืองสตูล,สมชาย,6.606598,100.126556,Not Checked-in,,,,,-
S0070,สยาม สาขา 1,นครศรีธรรมราช,ท่าศาลา,เจนนี่,8.616863,99.946955,Checked-in,2025-12-04 12:22:18,8.616712,99.947022,18.0,ปกติ
S0071,ป้าแดง ค้าส่ง,สงขลา,รัตภูมิ,สุดารัตน์,7.12369,100.26345,Checked-in,2025-12-07 10:36:37,7.123746,100.26348,7.0,ปกติ
S0072,ป้าแดง ค้าส่ง,ระนอง,เมืองระนอง,มานะ,10.020093,98.629083,Not Checked-in,,,,,-
S0073,สยาม 2025,สุราษฎร์ธานี,เมืองสุราษฎร์ฯ,วิชัย,9.113748,99.320362,Checked-in,2025-12-06 09:44:18,9.11569,99.322016,282.0,ปกติ
S0074,รุ่งเรือง โกรเซอรี่,พัทลุง,เมืองพัทลุง,วิชัย,7.660539,100.108366,Not Checked-in,,,,,-
S0075,ลุงพล ซัพพลาย,ชุมพร,หลังสวน,ทศพล,9.973313,99.087697,Checked-in,2025-12-09 15:24:13,9.973135,99.087704,19.0,ปกติ
S0076,เจริญ สโตร์,พัทลุง,ตะโหมด,เจนนี่,7.360311,100.15722,Checked-in,2025-12-01 10:54:41,7.360261,100.157198,6.0,ปกติ
S0077,หาดใหญ่ พานิช,ภูเก็ต,ถลาง,วิชัย,7.982705,98.288813,Checked-in,2025-12-01 08:47:20,7.982671,98.288848,5.0,ปกติ
S0078,โกไข่ โอชา,ระนอง,กระบุรี,มานะ,10.367436,98.8659,Checked-in,2025-12-04 15:21:59,10.36729,98.866023,21.0,ปกติ
S0079,ศรีนคร พานิช,พัทลุง,ตะโหมด,ทศพล,7.341393,100.071626,Not Checked-in,,,,,-
S0080,อันดามัน บริการ,พัทลุง,เมืองพัทลุง,วิชัย,7.596547,100.033396,Checked-in,2025-12-08 14:41:11,7.596695,100.033424,16.0,ปกติ
S0081,ลุงพล พานิช,สุราษฎร์ธานี,เกาะสมุย,กานต์,9.545858,100.007353,Not Checked-in,,,,,-
S0082,น้องหญิง บริการ,นราธิวาส,เมืองนราธิวาส,วิชัย,6.480171,101.806645,Not Checked-in,,,,,-
S0083,ป้าแดง โกรเซอรี่,ปัตตานี,เมืองปัตตานี,ทศพล,6.863951,101.22206,Not Checked-in,,,,,-
S0084,เจริญ สโตร์,ภูเก็ต,ถลาง,กานต์,8.030354,98.369233,Not Checked-in,,,,,-
S0085,เมืองใต้ สโตร์,ปัตตานี,โคกโพธิ์,สมชาย,6.684125,101.1024,Checked-in,2025-12-03 13:34:08,6.683976,101.102207,26.0,ปกติ
S0086,โกไข่ การค้า,สตูล,เมืองสตูล,สมชาย,6.650343,100.041405,Checked-in,2025-12-01 15:27:45,6.65038,100.041386,4.0,ปกติ
S0087,เจริญ โกรเซอรี่,ยะลา,บันนังสตา,เจนนี่,6.288774,101.234859,Not Checked-in,,,,,-
S0088,เจริญ มาร์ท,นราธิวาส,รือเสาะ,มานะ,6.367854,101.55355,Not Checked-in,,,,,-
S0089,เจริญ ค้าส่ง,ระนอง,กระบุรี,ทศพล,10.424633,98.894666,Checked-in,2025-12-06 08:19:30,10.422514,98.895295,245.0,ปกติ
S0090,เจริญ ค้าส่ง,กระบี่,เมืองกระบี่,ทศพล,8.088097,98.874313,Checked-in,2025-12-02 08:24:13,8.087484,98.876828,285.0,ปกติ
S0091,โกไข่ 2025,กระบี่,คลองท่อม,กานต์,7.895134,99.176703,Not Checked-in,,,,,-
S0092,เมืองใต้ การค้า,ภูเก็ต,ถลาง,เจนนี่,8.081995,98.288816,Checked-in,2025-12-03 10:22:31,8.090519,98.286253,988.0,ระยะไกลเกินกำหนด
S0093,หาดใหญ่ สโตร์,นราธิวาส,เมืองนราธิวาส,มานะ,6.42461,101.793835,Checked-in,2025-12-08 11:55:29,6.424682,101.793717,15.0,ปกติ
S0094,อันดามัน สโตร์,ระนอง,กระบุรี,วิชัย,10.451753,98.874496,Checked-in,2025-12-09 15:48:28,10.461584,98.870413,1180.0,ระยะไกลเกินกำหนด
S0095,น้องหญิง โอชา,สตูล,เมืองสตูล,ทศพล,6.602129,100.093791,Checked-in,2025-12-05 15:56:47,6.60649,100.087109,883.0,ระยะไกลเกินกำหนด
S0096,ป้าแดง ซัพพลาย,ปัตตานี,โคกโพธิ์,มานะ,6.706016,101.144425,Not Checked-in,,,,,-
S0097,ป้าแดง สาขา 1,พังงา,เมืองพังงา,สมชาย,8.39411,98.52444,Checked-in,2025-12-08 14:52:38,8.394219,98.524362,14.0,ปกติ
S0098,เมืองใต้ โกรเซอรี่,สตูล,เมืองสตูล,มานะ,6.582573,100.104672,Checked-in,2025-12-05 13:01:36,6.58244,100.104668,14.0,ปกติ
S0099,ป้าแดง สาขา 1,พัทลุง,ตะโหมด,ทศพล,7.314849,100.117382,Checked-in,2025-12-01 16:39:09,7.314756,100.117543,20.0,ปกติ
S0100,รุ่งเรือง 2025,ยะลา,เมืองยะลา,มานะ,6.53194,101.312485,Checked-in,2025-12-04 17:10:24,6.532076,101.312605,20.0,ปกติ
S0101,ศรีนคร ซัพพลาย,สตูล,เมืองสตูล,มานะ,6.664104,100.107944,Not Checked-in,,,,,-
S0102,ลุงพล ค้าส่ง,สตูล,ละงู,ทศพล,6.838893,99.812516,Checked-in,2025-12-08 15:04:00,6.838907,99.812561,5.0,ปกติ
S0103,รุ่งเรือง ค้าส่ง,ตรัง,กันตัง,สมชาย,7.421344,99.458328,Checked-in,2025-12-07 11:40:54,7.416559,99.464804,890.0,ระยะไกลเกินกำหนด
S0104,หาดใหญ่ ค้าส่ง,สตูล,เมืองสตูล,เจนนี่,6.683113,100.072864,Checked-in,2025-12-02 08:54:59,6.683259,100.07272,22.0,ปกติ
S0105,สยาม บริการ,ระนอง,กระบุรี,มานะ,10.390815,98.871571,Checked-in,2025-12-03 17:35:27,10.390773,98.871618,6.0,ปกติ
S0106,อันดามัน ค้าส่ง,สงขลา,สะเดา,ทศพล,6.604868,100.363344,Checked-in,2025-12-02 17:14:15,6.605009,100.36346,20.0,ปกติ
S0107,สยาม โอชา,ปัตตานี,โคกโพธิ์,สมชาย,6.712867,101.117191,Checked-in,2025-12-04 09:18:54,6.712942,101.117384,22.0,ปกติ
S0108,สยาม สาขา 1,ยะลา,เบตง,มานะ,5.781184,101.048091,Checked-in,2025-12-02 13:29:23,5.781111,101.048041,9.0,ปกติ
S0109,เจริญ ค้าส่ง,พัทลุง,ตะโหมด,สมชาย,7.317944,100.087981,Not Checked-in,,,,,-
S0110,อันดามัน มาร์ท,สุราษฎร์ธานี,เกาะสมุย,กานต์,9.455237,100.037873,Checked-in,2025-12-07 08:20:58,9.453171,100.035876,317.0,ระยะไกลเกินกำหนด
S0111,น้องหญิง สโตร์,สุราษฎร์ธานี,เวียงสระ,ทศพล,8.631286,99.346937,Checked-in,2025-12-02 11:07:32,8.631301,99.347001,7.0,ปกติ
S0112,อันดามัน โกรเซอรี่,สงขลา,สะเดา,กานต์,6.597052,100.41281,Not Checked-in,,,,,-
S0113,สยาม โกรเซอรี่,ยะลา,เบตง,ทศพล,5.787349,101.079423,Not Checked-in,,,,,-
S0114,โกไข่ สโตร์,กระบี่,เกาะลันตา,วิชัย,7.579205,99.056729,Checked-in,2025-12-02 16:04:28,7.579309,99.056742,11.0,ปกติ
S0115,น้องหญิง ซัพพลาย,สงขลา,สะเดา,กานต์,6.635429,100.447683,Checked-in,2025-12-06 17:01:05,6.635293,100.447645,15.0,ปกติ
S0116,ทรัพย์ โอชา,ชุมพร,ปะทิว,ทศพล,10.678712,99.37585,Checked-in,2025-12-07 12:52:55,10.67871,99.375791,6.0,ปกติ
S0117,ศรีนคร สโตร์,ชุมพร,ปะทิว,สมชาย,10.694787,99.35971,Checked-in,2025-12-02 12:31:53,10.694905,99.359725,13.0,ปกติ
S0118,ป้าแดง สาขา 1,ยะลา,บันนังสตา,กานต์,6.276418,101.307121,Not Checked-in,,,,,-
S0119,หาดใหญ่ สาขา 1,ยะลา,เมืองยะลา,สมชาย,6.49131,101.247324,Not Checked-in,,,,,-
S0120,หาดใหญ่ 2025,นราธิวาส,เมืองนราธิวาส,สุดารัตน์,6.377462,101.875021,Not Checked-in,,,,,-
S0121,โกไข่ พานิช,ตรัง,ห้วยยอด,มานะ,7.730553,99.650244,Checked-in,2025-12-03 16:46:12,7.730372,99.650296,20.0,ปกติ
S0122,ศรีนคร ซัพพลาย,ตรัง,ห้วยยอด,ทศพล,7.816232,99.627455,Checked-in,2025-12-01 15:50:26,7.816235,99.627655,21.0,ปกติ
S0123,ทรัพย์ สาขา 1,ระนอง,เมืองระนอง,สุดารัตน์,9.965695,98.652284,Checked-in,2025-12-07 15:47:33,9.965616,98.652165,15.0,ปกติ
S0124,โกไข่ สโตร์,นราธิวาส,รือเสาะ,กานต์,6.399281,101.510321,Checked-in,2025-12-09 09:02:28,6.399341,101.510384,9.0,ปกติ
S0125,รุ่งเรือง โอชา,นราธิวาส,สุไหงโก-ลก,สุดารัตน์,6.076581,101.915471,Checked-in,2025-12-03 16:53:49,6.076546,101.915309,18.0,ปกติ
S0126,โกไข่ โกรเซอรี่,ปัตตานี,เมืองปัตตานี,มานะ,6.9022,101.268627,Checked-in,2025-12-07 10:08:24,6.898005,101.275888,927.0,ระยะไกลเกินกำหนด
S0127,โกไข่ ซัพพลาย,ปัตตานี,สายบุรี,มานะ,6.71406,101.583747,Checked-in,2025-12-03 17:33:33,6.713912,101.583601,23.0,ปกติ
S0128,อันดามัน ซัพพลาย,พังงา,เมืองพังงา,สุดารัตน์,8.440074,98.476628,Checked-in,2025-12-02 12:16:20,8.440022,98.47654,11.0,ปกติ
S0129,หาดใหญ่ มาร์ท,ระนอง,เมืองระนอง,วิชัย,9.910307,98.579375,Checked-in,2025-12-03 14:25:34,9.910113,98.579321,22.0,ปกติ
S0130,ลุงพล 2025,ตรัง,กันตัง,ทศพล,7.419415,99.521974,Checked-in,2025-12-07 15:54:16,7.419342,99.522034,10.0,ปกติ
S0131,ลุงพล โกรเซอรี่,ระนอง,เมืองระนอง,เจนนี่,9.979904,98.580559,Checked-in,2025-12-06 17:19:40,9.979845,98.580483,10.0,ปกติ
S0132,หาดใหญ่ สโตร์,ระนอง,เมืองระนอง,วิชัย,10.023708,98.603905,Checked-in,2025-12-02 14:40:20,10.023861,98.60374,24.0,ปกติ
S0133,หาดใหญ่ 2025,ชุมพร,หลังสวน,สมชาย,9.941542,99.11871,Checked-in,2025-12-04 12:45:49,9.941682,99.11856,22.0,ปกติ
S0134,น้องหญิง บริการ,พังงา,เมืองพังงา,เจนนี่,8.438721,98.525161,Not Checked-in,,,,,-
S0135,โกไข่ ค้าส่ง,กระบี่,คลองท่อม,วิชัย,7.888235,99.109713,Not Checked-in,,,,,-
S0136,ศรีนคร โอชา,กระบี่,คลองท่อม,สมชาย,7.960271,99.189024,Checked-in,2025-12-06 08:34:19,7.952578,99.187812,865.0,ระยะไกลเกินกำหนด
S0137,ทรัพย์ การค้า,ชุมพร,หลังสวน,กานต์,9.949845,99.053782,Checked-in,2025-12-01 13:52:24,9.954734,99.045336,1072.0,ระยะไกลเกินกำหนด
S0138,ลุงพล การค้า,สงขลา,สะเดา,มานะ,6.680559,100.401935,Checked-in,2025-12-01 10:13:56,6.68036,100.401971,22.0,ปกติ
S0139,เจริญ บริการ,สตูล,ละงู,วิชัย,6.859086,99.830397,Checked-in,2025-12-05 08:42:45,6.859053,99.83023,18.0,ปกติ
S0140,เจริญ สโตร์,กระบี่,เมืองกระบี่,เจนนี่,8.032797,98.886844,Checked-in,2025-12-07 12:16:14,8.032881,98.886772,12.0,ปกติ
S0141,น้องหญิง สาขา 1,นราธิวาส,สุไหงโก-ลก,สมชาย,6.010119,101.927157,Not Checked-in,,,,,-
S0142,เจริญ สโตร์,พัทลุง,ตะโหมด,สุดารัตน์,7.347868,100.092594,Not Checked-in,,,,,-
S0143,ลุงพล โอชา,ยะลา,เบตง,ทศพล,5.812086,101.092436,Not Checked-in,,,,,-
S0144,ทรัพย์ สโตร์,พังงา,ตะกั่วป่า,ทศพล,8.8865,98.307549,Not Checked-in,,,,,-
S0145,อันดามัน บริการ,สงขลา,รัตภูมิ,ทศพล,7.16177,100.274907,Not Checked-in,,,,,-
S0146,ทรัพย์ มาร์ท,สงขลา,รัตภูมิ,มานะ,7.14452,100.298344,Checked-in,2025-12-02 16:44:14,7.142257,100.290998,848.0,ระยะไกลเกินกำหนด
S0147,เมืองใต้ ค้าส่ง,พัทลุง,ควนขนุน,ทศพล,7.68286,100.030531,Checked-in,2025-12-02 12:23:17,7.682792,100.030563,8.0,ปกติ
S0148,เมืองใต้ มาร์ท,สุราษฎร์ธานี,พุนพิน,วิชัย,9.140968,99.182218,Checked-in,2025-12-02 08:50:57,9.140805,99.182271,19.0,ปกติ
S0149,ป้าแดง สาขา 1,ระนอง,เมืองระนอง,สุดารัตน์,9.933621,98.65367,Not Checked-in,,,,,-
S0150,สยาม ซัพพลาย,สตูล,ละงู,กานต์,6.926716,99.733669,Checked-in,2025-12-01 16:27:56,6.92676,99.733858,21.0,ปกติ
S0151,โกไข่ สาขา 1,สงขลา,เมืองสงขลา,กานต์,7.186844,100.657997,Not Checked-in,,,,,-
S0152,ทรัพย์ การค้า,ชุมพร,ปะทิว,ทศพล,10.729947,99.355916,Not Checked-in,,,,,-
S0153,โกไข่ ซัพพลาย,ยะลา,บันนังสตา,สมชาย,6.26989,101.266811,Checked-in,2025-12-02 08:40:20,6.276455,101.262873,849.0,ระยะไกลเกินกำหนด
S0154,เจริญ บริการ,นราธิวาส,รือเสาะ,ทศพล,6.387308,101.533931,Checked-in,2025-12-06 11:01:13,6.387316,101.533964,3.0,ปกติ
S0155,ลุงพล สโตร์,ปัตตานี,โคกโพธิ์,กานต์,6.784494,101.062312,Not Checked-in,,,,,-
S0156,ศรีนคร สโตร์,กระบี่,เกาะลันตา,เจนนี่,7.591703,99.044183,Not Checked-in,,,,,-
S0157,น้องหญิง การค้า,สุราษฎร์ธานี,เวียงสระ,มานะ,8.64646,99.381751,Checked-in,2025-12-08 10:00:35,8.646543,99.3818,10.0,ปกติ
S0158,เมืองใต้ บริการ,พัทลุง,ควนขนุน,สุดารัตน์,7.681717,100.02364,Not Checked-in,,,,,-
S0159,รุ่งเรือง โกรเซอรี่,สตูล,ละงู,กานต์,6.850437,99.743345,Checked-in,2025-12-02 15:49:23,6.850277,99.743431,20.0,ปกติ
S0160,สยาม พานิช,ระนอง,กระบุรี,ทศพล,10.34747,98.883307,Checked-in,2025-12-02 13:09:39,10.347627,98.883135,25.0,ปกติ
S0161,ลุงพล สาขา 1,พัทลุง,ควนขนุน,กานต์,7.709672,99.952037,Checked-in,2025-12-01 09:49:39,7.709765,99.952145,15.0,ปกติ
S0162,รุ่งเรือง สโตร์,นราธิวาส,สุไหงโก-ลก,ทศพล,5.998826,101.980205,Checked-in,2025-12-02 14:00:37,5.998865,101.980232,5.0,ปกติ
S0163,เมืองใต้ โอชา,นครศรีธรรมราช,ทุ่งสง,เจนนี่,8.114335,99.666664,Checked-in,2025-12-02 12:18:50,8.1144,99.666538,15.0,ปกติ
S0164,เมืองใต้ โอชา,ชุมพร,เมืองชุมพร,เจนนี่,10.45151,99.194638,Checked-in,2025-12-07 12:58:13,10.451581,99.1947,10.0,ปกติ
S0165,ศรีนคร พานิช,ยะลา,เมืองยะลา,กานต์,6.54188,101.266949,Checked-in,2025-12-07 16:36:12,6.532891,101.271743,1131.0,ระยะไกลเกินกำหนด
S0166,โกไข่ โอชา,ชุมพร,ปะทิว,สมชาย,10.699238,99.318278,Checked-in,2025-12-01 14:46:25,10.699372,99.318168,19.0,ปกติ
S0167,อันดามัน การค้า,พัทลุง,ควนขนุน,เจนนี่,7.706032,100.056033,Checked-in,2025-12-02 10:51:37,7.706005,100.056193,17.0,ปกติ
S0168,น้องหญิง สาขา 1,ระนอง,กระบุรี,เจนนี่,10.416582,98.90217,Not Checked-in,,,,,-
S0169,อันดามัน โกรเซอรี่,ยะลา,เบตง,เจนนี่,5.782841,101.082102,Checked-in,2025-12-08 14:49:10,5.782908,101.081948,18.0,ปกติ
S0170,เมืองใต้ การค้า,นราธิวาส,รือเสาะ,มานะ,6.32878,101.551279,Checked-in,2025-12-09 14:11:51,6.32879,101.551356,8.0,ปกติ
S0171,อันดามัน โอชา,ปัตตานี,เมืองปัตตานี,สมชาย,6.88962,101.279496,Checked-in,2025-12-07 12:47:05,6.889534,101.279626,17.0,ปกติ
